film_id,language_id,title,description,length,rating,deleted_scenes,behind_scenes,commentaries,trailers,rental_duration,rental_rate,replacement_cost
1,1,ACADEMY DINOSAUR,a epic drama of a feminist and a mad scientist who must battle a teacher in the canadian rockies,86,PG,1,1,0,0,6,0.99,20.99
2,1,ACE GOLDFINGER,a astounding epistle of a database administrator and a explorer who must find a car in ancient china,48,G,1,0,0,1,3,4.99,12.99
3,1,ADAPTATION HOLES,a astounding reflection of a lumberjack and a car who must sink a lumberjack in a baloon factory,50,NC-17,1,0,0,1,7,2.99,18.99
4,1,AFFAIR PREJUDICE,a fanciful documentary of a frisbee and a lumberjack who must chase a monkey in a shark tank,117,G,0,1,1,0,5,2.99,26.99
5,1,AFRICAN EGG,a fast-paced documentary of a pastry chef and a dentist who must pursue a forensic psychologist in the gulf of mexico,130,G,1,0,0,0,6,2.99,22.99
6,1,AGENT TRUMAN,a intrepid panorama of a robot and a boy who must escape a sumo wrestler in ancient china,169,PG,1,0,0,0,3,2.99,17.99
7,1,AIRPLANE SIERRA,a touching saga of a hunter and a butler who must discover a butler in a jet boat,62,PG-13,1,0,0,1,6,4.99,28.99
8,1,AIRPORT POLLOCK,a epic tale of a moose and a girl who must confront a monkey in ancient india,54,R,0,0,0,1,6,4.99,15.99
9,1,ALABAMA DEVIL,a thoughtful panorama of a database administrator and a mad scientist who must outgun a mad scientist in a jet boat,114,PG-13,1,0,0,1,3,2.99,21.99
10,1,ALADDIN CALENDAR,a action-packed tale of a man and a lumberjack who must reach a feminist in ancient china,63,NC-17,1,0,0,1,6,4.99,24.99
11,1,ALAMO VIDEOTAPE,a boring epistle of a butler and a cat who must fight a pastry chef in a mysql convention,126,G,0,1,1,0,6,0.99,16.99
12,1,ALASKA PHANTOM,a fanciful saga of a hunter and a pastry chef who must vanquish a boy in australia,136,PG,1,0,1,0,6,0.99,22.99
13,1,ALI FOREVER,a action-packed drama of a dentist and a crocodile who must battle a feminist in the canadian rockies,150,PG,1,1,0,0,4,4.99,21.99
14,1,ALICE FANTASIA,a emotional drama of a a shark and a database administrator who must vanquish a pioneer in soviet georgia,94,NC-17,1,1,0,1,6,0.99,23.99
15,1,ALIEN CENTER,a brilliant drama of a cat and a mad scientist who must battle a feminist in a mysql convention,46,NC-17,0,1,1,1,5,2.99,10.99
16,1,ALLEY EVOLUTION,a fast-paced drama of a robot and a composer who must battle a astronaut in new orleans,180,NC-17,0,0,1,1,6,2.99,23.99
17,1,ALONE TRIP,a fast-paced character study of a composer and a dog who must outgun a boat in an abandoned fun house,82,R,0,1,0,1,3,0.99,14.99
18,1,ALTER VICTORY,a thoughtful drama of a composer and a feminist who must meet a secret agent in the canadian rockies,57,PG-13,0,1,0,1,6,0.99,27.99
19,1,AMADEUS HOLY,a emotional display of a pioneer and a technical writer who must battle a man in a baloon,113,PG,1,1,1,0,6,0.99,20.99
20,1,AMELIE HELLFIGHTERS,a boring drama of a woman and a squirrel who must conquer a student in a baloon,79,R,1,1,1,0,4,4.99,23.99
21,1,AMERICAN CIRCUS,a insightful drama of a girl and a astronaut who must face a database administrator in a shark tank,129,R,0,1,1,0,3,4.99,17.99
22,1,AMISTAD MIDSUMMER,a emotional character study of a dentist and a crocodile who must meet a sumo wrestler in california,85,G,0,1,1,0,6,2.99,10.99
23,1,ANACONDA CONFESSIONS,a lacklusture display of a dentist and a dentist who must fight a girl in australia,92,R,1,0,0,1,3,0.99,9.99
24,1,ANALYZE HOOSIERS,a thoughtful display of a explorer and a pastry chef who must overcome a feminist in the sahara desert,181,R,0,1,0,1,6,2.99,19.99
25,1,ANGELS LIFE,a thoughtful display of a woman and a astronaut who must battle a robot in berlin,74,G,0,0,0,1,3,2.99,15.99
26,1,ANNIE IDENTITY,a amazing panorama of a pastry chef and a boat who must escape a woman in an abandoned amusement park,86,G,1,0,1,0,3,0.99,15.99
27,1,ANONYMOUS HUMAN,a amazing reflection of a database administrator and a astronaut who must outrace a database administrator in a shark tank,179,NC-17,1,1,0,0,7,0.99,12.99
28,1,ANTHEM LUKE,a touching panorama of a waitress and a woman who must outrace a dog in an abandoned amusement park,91,PG-13,1,1,0,0,5,4.99,16.99
29,1,ANTITRUST TOMATOES,a fateful yarn of a womanizer and a feminist who must succumb a database administrator in ancient india,168,NC-17,1,0,1,1,5,2.99,11.99
30,1,ANYTHING SAVANNAH,a epic story of a pastry chef and a woman who must chase a feminist in an abandoned fun house,82,R,1,1,0,1,4,2.99,27.99
31,1,APACHE DIVINE,a awe-inspiring reflection of a pastry chef and a teacher who must overcome a sumo wrestler in a u-boat,92,NC-17,1,1,1,0,5,4.99,16.99
32,1,APOCALYPSE FLAMINGOS,a astounding story of a dog and a squirrel who must defeat a woman in an abandoned amusement park,119,R,0,0,1,1,6,4.99,11.99
33,1,APOLLO TEEN,a action-packed reflection of a crocodile and a explorer who must find a sumo wrestler in an abandoned mine shaft,153,PG-13,1,1,1,1,5,2.99,15.99
34,1,ARABIA DOGMA,a touching epistle of a madman and a mad cow who must defeat a student in nigeria,62,NC-17,1,0,1,0,6,0.99,29.99
35,1,ARACHNOPHOBIA ROLLERCOASTER,a action-packed reflection of a pastry chef and a composer who must discover a mad scientist in the first manned space station,147,PG-13,1,1,0,1,4,2.99,24.99
36,1,ARGONAUTS TOWN,a emotional epistle of a forensic psychologist and a butler who must challenge a waitress in an abandoned mine shaft,127,PG-13,0,0,1,1,7,0.99,12.99
37,1,ARIZONA BANG,a brilliant panorama of a mad scientist and a mad cow who must meet a pioneer in a monastery,121,PG,1,0,0,1,3,2.99,28.99
38,1,ARK RIDGEMONT,a beautiful yarn of a pioneer and a monkey who must pursue a explorer in the sahara desert,68,NC-17,1,1,1,1,6,0.99,25.99
39,1,ARMAGEDDON LOST,a fast-paced tale of a boat and a teacher who must succumb a composer in an abandoned mine shaft,99,G,0,0,0,1,5,0.99,10.99
40,1,ARMY FLINTSTONES,a boring saga of a database administrator and a womanizer who must battle a waitress in nigeria,148,R,0,0,1,1,4,0.99,22.99
41,1,ARSENIC INDEPENDENCE,a fanciful documentary of a mad cow and a womanizer who must find a dentist in berlin,137,PG,1,1,0,1,4,0.99,17.99
42,1,ARTIST COLDBLOODED,a stunning reflection of a robot and a moose who must challenge a woman in california,170,NC-17,0,1,0,1,5,2.99,10.99
43,1,ATLANTIS CAUSE,a thrilling yarn of a feminist and a hunter who must fight a technical writer in a shark tank,170,G,0,1,0,0,6,2.99,15.99
44,1,ATTACKS HATE,a fast-paced panorama of a technical writer and a mad scientist who must find a feminist in an abandoned mine shaft,113,PG-13,0,1,0,1,5,4.99,21.99
45,1,ATTRACTION NEWTON,a astounding panorama of a composer and a frisbee who must reach a husband in ancient japan,83,PG-13,0,1,0,1,5,4.99,14.99
46,1,AUTUMN CROW,a beautiful tale of a dentist and a mad cow who must battle a moose in the sahara desert,108,G,1,1,1,1,3,4.99,13.99
47,1,BABY HALL,a boring character study of a a shark and a girl who must outrace a feminist in an abandoned mine shaft,153,NC-17,0,0,1,0,5,4.99,23.99
48,1,BACKLASH UNDEFEATED,a stunning character study of a mad scientist and a mad cow who must kill a car in a monastery,118,PG-13,0,1,0,1,3,4.99,24.99
49,1,BADMAN DAWN,a emotional panorama of a pioneer and a composer who must escape a mad scientist in a jet boat,162,R,0,1,1,1,6,2.99,22.99
50,1,BAKED CLEOPATRA,a stunning drama of a forensic psychologist and a husband who must overcome a waitress in a monastery,182,G,0,1,1,0,3,2.99,20.99
51,1,BALLOON HOMEWARD,a insightful panorama of a forensic psychologist and a mad cow who must build a mad scientist in the first manned space station,75,NC-17,1,0,0,0,5,2.99,10.99
52,1,BALLROOM MOCKINGBIRD,a thrilling documentary of a composer and a monkey who must find a feminist in california,173,G,1,0,1,0,6,0.99,29.99
53,1,BANG KWAI,a epic drama of a madman and a cat who must face a a shark in an abandoned amusement park,87,NC-17,1,1,1,0,5,2.99,25.99
54,1,BANGER PINOCCHIO,a awe-inspiring drama of a car and a pastry chef who must chase a crocodile in the first manned space station,113,R,1,0,1,1,5,0.99,15.99
55,1,BARBARELLA STREETCAR,a awe-inspiring story of a feminist and a cat who must conquer a dog in a monastery,65,G,0,1,0,0,6,2.99,27.99
